chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,0.06083475080005148,0.005171196912314897,11.76415283184772,0.001320096141205199
SW 1-2,min_elapsed,0.3120427284531942,0.03807166882949483,8.196192550704499,0.014561571772625227
SW 1-3,min_elapsed,0.19788398316440753,0.009350434014710382,21.163080008167594,2.3080981198949152e-4
SW 1-4,min_elapsed,0.07754441260855578,0.004001586485797105,19.37841725620211,3.0017050574775644e-4
SW 2-1,min_elapsed,3.793771119486266e-4,7.01047701535381e-4,0.5411573436696874,0.6259996619068069
SW 2-2,min_elapsed,0.00406709430927125,9.307751398252173e-4,4.36957771566071,0.022170649853957274
SW 2-3,min_elapsed,8.562241605123131e-4,0.0013987389151066012,0.6121400865200481,0.5837177769046386
SW 2-4,min_elapsed,0.00141731508428759,0.0011519899939092266,1.2303189192451183,0.3062524101253645
UP 1-1,min_elapsed,-0.002870547170121532,7.948443323160375e-4,-3.6114583112862606,0.03646613016199547
UP 1-2,min_elapsed,-0.004078229341494184,9.246759278099757e-4,-4.410441776237388,0.021625607067870648
UP 1-3,min_elapsed,-0.0019860936673228033,7.752836779854454e-4,-2.561763808163247,0.08308639648914005
UP 1-4,min_elapsed,-0.004173560474917306,0.001372777044743307,-3.04023183582423,0.055857079404306974
UP 2-1,min_elapsed,-0.0022610255665621703,1.4508422230334356e-4,-15.584227772436861,5.741357493621568e-4
UP 2-2,min_elapsed,-0.0027064743643385116,9.574429840790146e-4,-2.8267734051463425,0.06636610052263263
UP 2-3,min_elapsed,-0.005009480037732767,0.0014027238357055404,-3.571251810384404,0.037518675920976165
UP 2-4,min_elapsed,0.010541900384348504,0.007191484334032011,1.4658865812251631,0.2389337858037019
